hour,day,month,Total input power(kW)
4,15.818181818181818,6.340909090909091,0.0005227272727272728
5,15.902439024390244,5.573170731707317,1.9508896603227397
6,15.812121212121212,5.5636363636363635,12.883005325987146
7,15.766871165644172,5.564417177914111,32.29029382784904
8,15.793939393939393,5.5636363636363635,48.99684964034282
9,15.67065868263473,5.532934131736527,63.12793271487329
10,15.650602409638553,5.548192771084337,72.91893682522297
11,15.705521472392638,5.564417177914111,77.61170257172957
12,15.75925925925926,5.580246913580247,76.29891669784263
13,15.774390243902438,5.567073170731708,72.65361935513674
14,15.74390243902439,5.554878048780488,58.397841788749865
15,15.703703703703704,5.567901234567901,37.1817893939394
16,15.823899371069182,5.572327044025157,18.214961565338925
17,15.775,5.575,4.01606652078824
18,15.541176470588235,6.682352941176471,0.22381078431372547
